Time,SWC_30_cm
2022-02-12 00:00:00,0.125
2022-02-12 01:00:00,0.1248
2022-02-12 02:00:00,0.1246
2022-02-12 03:00:00,0.1244
2022-02-12 04:00:00,0.1242
2022-02-12 05:00:00,0.124
2022-02-12 06:00:00,0.1239
2022-02-12 07:00:00,0.1237
2022-02-12 08:00:00,0.1236
2022-02-12 09:00:00,0.1234
2022-02-12 10:00:00,0.1233
2022-02-12 11:00:00,0.1233
2022-02-12 12:00:00,0.1234
2022-02-12 13:00:00,0.1237
2022-02-12 14:00:00,0.1241
2022-02-12 15:00:00,0.1246
2022-02-12 16:00:00,0.125
2022-02-12 17:00:00,0.1253
2022-02-12 18:00:00,0.1255
2022-02-12 19:00:00,0.1254
2022-02-12 20:00:00,0.1253
2022-02-12 21:00:00,0.1251
2022-02-12 22:00:00,0.1248
2022-02-12 23:00:00,0.1246
2022-02-13 00:00:00,0.1243
2022-02-13 01:00:00,0.124
2022-02-13 02:00:00,0.1237
2022-02-13 03:00:00,0.1235
2022-02-13 04:00:00,0.1233
2022-02-13 05:00:00,0.1231
2022-02-13 06:00:00,0.1229
2022-02-13 07:00:00,0.1227
2022-02-13 08:00:00,0.1225
2022-02-13 09:00:00,0.1224
2022-02-13 10:00:00,0.1223
2022-02-13 11:00:00,0.1223
2022-02-13 12:00:00,0.1224
2022-02-13 13:00:00,0.1226
2022-02-13 14:00:00,0.1229
2022-02-13 15:00:00,0.1232
2022-02-13 16:00:00,0.1234
2022-02-13 17:00:00,0.1235
2022-02-13 18:00:00,0.1235
2022-02-13 19:00:00,0.1233
2022-02-13 20:00:00,0.1232
2022-02-13 21:00:00,0.123
2022-02-13 22:00:00,0.1228
2022-02-13 23:00:00,0.1226
2022-02-14 00:00:00,0.1224
2022-02-14 01:00:00,0.1222
2022-02-14 02:00:00,0.1219
2022-02-14 03:00:00,0.1217
2022-02-14 04:00:00,0.1215
2022-02-14 05:00:00,0.1214
2022-02-14 06:00:00,0.1213
2022-02-14 07:00:00,0.1212
2022-02-14 08:00:00,0.1212
2022-02-14 09:00:00,0.1213
2022-02-14 10:00:00,0.1213
2022-02-14 11:00:00,0.1214
2022-02-14 12:00:00,0.1215
2022-02-14 13:00:00,0.1217
2022-02-14 14:00:00,0.1219
2022-02-14 15:00:00,0.1221
2022-02-14 16:00:00,0.1224
2022-02-14 17:00:00,0.1228
2022-02-14 18:00:00,0.1232
2022-02-14 19:00:00,0.1235
2022-02-14 20:00:00,0.1237
2022-02-14 21:00:00,0.1239
2022-02-14 22:00:00,0.1241
2022-02-14 23:00:00,0.1243
2022-02-15 00:00:00,0.1245
2022-02-15 01:00:00,0.1246
2022-02-15 02:00:00,0.1248
2022-02-15 03:00:00,0.125
2022-02-15 04:00:00,0.1252
2022-02-15 05:00:00,0.1253
2022-02-15 06:00:00,0.1255
2022-02-15 07:00:00,0.1257
2022-02-15 08:00:00,0.1259
2022-02-15 09:00:00,0.1261
2022-02-15 10:00:00,0.1263
2022-02-15 11:00:00,0.1266
2022-02-15 12:00:00,0.1269
