Time,hP_50_cm
2022-02-12 00:00:00,-5.024004118181819
2022-02-12 10:00:00,-5.024039086363637
2022-02-12 20:00:00,-5.024197048484849
2022-02-13 06:00:00,-5.024572283333333
2022-02-13 16:00:00,-4.4633629818181815
2022-02-14 02:00:00,-2.7853138454545454
2022-02-14 12:00:00,-2.4865247757575757
2022-02-14 22:00:00,-2.4760398136363633
2022-02-15 08:00:00,-2.509174984848485
2022-02-15 18:00:00,-2.553795765151515
2022-02-16 04:00:00,-2.602563036363636
2022-02-16 14:00:00,-2.6520257560606058
2022-02-17 00:00:00,-2.697043668181818
2022-02-17 10:00:00,-2.7374850303030303
2022-02-17 20:00:00,-2.7706495166666665
2022-02-18 06:00:00,-2.7695167287878784
2022-02-18 16:00:00,-2.776578853030303
2022-02-19 02:00:00,-2.778987309090909
2022-02-19 12:00:00,-2.7620351696969694
2022-02-19 22:00:00,-2.2679116015151517
2022-02-20 08:00:00,-1.890605281818182
2022-02-20 18:00:00,-1.7582951303030303
2022-02-21 04:00:00,-1.7530310636363637
2022-02-21 14:00:00,-1.6950669196969697
2022-02-22 00:00:00,-1.5549338227272729
2022-02-22 10:00:00,-1.494467912121212
2022-02-22 20:00:00,-1.5990812772727272
2022-02-23 06:00:00,-1.3443219954545458
2022-02-23 16:00:00,-1.3599970469696971
2022-02-24 02:00:00,-1.4912336999999998
2022-02-24 12:00:00,-1.5984396075757579
2022-02-24 22:00:00,-1.6866927318181817
2022-02-25 08:00:00,-1.7682841787878787
2022-02-25 18:00:00,-1.8388888424242427
2022-02-26 04:00:00,-1.900664206060606
2022-02-26 14:00:00,-1.9609201893939396
2022-02-27 00:00:00,-2.0189747272727274
2022-02-27 10:00:00,-2.0735397378787876
2022-02-27 20:00:00,-2.1237412212121214
2022-02-28 06:00:00,-2.1689492363636367
2022-02-28 16:00:00,-2.2114137636363638
2022-03-01 02:00:00,-2.254028684848485
2022-03-01 12:00:00,-2.2962995227272724
2022-03-01 22:00:00,-2.337565165151515
2022-03-02 08:00:00,-2.3775442863636362
2022-03-02 18:00:00,-2.4161077227272725
2022-03-03 04:00:00,-2.453187806060606
2022-03-03 14:00:00,-2.488719572727273
2022-03-04 00:00:00,-2.5225845075757576
2022-03-04 10:00:00,-2.5545558969696973
2022-03-04 20:00:00,-2.5845000045454545
2022-03-05 06:00:00,-2.6131961348484847
